workCode;orcid_id;org_first_name;org_last_name;input_date
213177222;0000-0002-3707-9475;Agnieszka;Althaber;2026-04-29
127646740;0000-0002-3707-9475;Agnieszka;Althaber;2023-01-30
120644727;0000-0002-3707-9475;Agnieszka;Althaber;2022-10-12
176984300;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
172192322;0000-0002-8257-1338;Jens;Ambrasat;2024-11-21
176983480;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176984001;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176983504;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176983944;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176987223;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
149077241;0000-0002-8257-1338;Jens;Ambrasat;2023-12-20
176983926;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176983902;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176983834;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176988038;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176987317;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176984256;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176987305;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
146759488;0000-0002-8257-1338;Jens;Ambrasat;2023-11-16
176986631;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176985063;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176988228;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176983429;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176984519;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176984989;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176982894;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176982805;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176982879;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176982956;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176982931;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
176983151;0000-0002-8257-1338;Jens;Ambrasat;2025-01-30
167648916;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-09-17
167647930;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-09-17
167648949;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-09-17
168228763;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-09-25
168228848;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-09-25
168229003;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-09-25
168229079;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-09-25
168229475;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-09-25
150817982;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-16
150818252;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-16
150907731;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-17
150829863;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-16
150905015;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-17
150905685;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-17
150905817;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-17
150906015;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-17
150907880;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-17
150906615;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-17
150906521;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-17
150907089;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-17
150827305;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-16
150827704;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-16
150826888;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-16
150828976;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-16
123848432;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-11-30
123848822;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-11-30
123848857;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-11-30
123848910;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-11-30
123848940;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-11-30
123848986;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-11-30
123849161;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-11-30
123848499;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-11-30
123849231;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-11-30
118098435;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-08-30
123849332;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-11-30
123849531;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-11-30
118097258;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-08-30
118098780;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-08-30
118097302;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-08-30
118098053;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-08-30
118098133;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-08-30
123848480;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-11-30
118098624;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-08-30
118098153;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-08-30
118096800;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-08-30
150829501;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-16
150829410;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-16
150828344;0000-0003-2281-1237;Brigitte;Aulenbacher;2024-01-16
106161933;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-01-12
106161995;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-01-12
106162080;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-01-12
106162142;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-01-12
106161192;0000-0003-2281-1237;Brigitte;Aulenbacher;2022-01-12
